subset,filename,classification,cbct_score,reasons,min_hu,max_hu,mean_hu,std_hu,range_hu,voxel_x,voxel_y,voxel_z,is_isotropic
trainA,patient_44.nii.gz,LIKELY_CT,1,Max HU too low: 1500.0,-999.9999694824219,1500.0000002495944,-717.5774020536353,427.9835059854403,2499.9999697320163,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_45.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-678.8980539042294,443.27658478441657,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_46.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-721.3173886382044,429.72478442452825,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_47.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-740.9872429653349,417.725358142912,3975.999938901514,1.0527000427246094,1.0527000427246094,3.0,False
trainA,patient_48.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-674.9246626968662,438.3628317459649,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_49.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-675.275722451225,438.2740548776627,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_5.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-782.5423421207862,399.0305551016854,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_50.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-723.3567391975799,416.9951836365362,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_51.nii.gz,LIKELY_CT,0,,-999.9999999643273,2974.2000001065835,-766.1644678338916,396.4809053186807,3974.200000070911,1.1660000085830688,1.1660000085830688,3.0,False
trainA,patient_52.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-695.1578668675468,432.18250357070906,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_53.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-821.9173753057917,363.86936069795473,3975.999938901514,1.111299991607666,1.111299991607666,3.0,False
trainA,patient_54.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-738.9322699891345,418.87593482621304,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_55.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-689.2493723142148,433.91388837607866,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_56.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-778.7949168355655,383.8284480880313,3975.999938901514,1.111299991607666,1.111299991607666,3.0,False
trainA,patient_57.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-704.8019926840565,440.3031796033427,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_58.nii.gz,LIKELY_CT,1,Max HU too low: 1494.5,-999.9999694824219,1494.499999735388,-825.065325646988,362.81651698282695,2494.49996921781,1.0254000425338745,1.0254000425338745,3.0,False
trainA,patient_6.nii.gz,LIKELY_CT,1,Max HU too low: 1519.1,-1000.0,1519.0999997067925,-773.0176006419156,398.577589918691,2519.0999997067925,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_60.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-806.143320437344,382.0933747090822,3975.999938901514,1.1172000169754028,1.1172000169754028,3.0,False
trainA,patient_61.nii.gz,LIKELY_CT,0,,-1000.0,2721.900000033638,-769.718028480469,393.7650915232131,3721.900000033638,1.1620999574661255,1.1620999574661255,3.0,False
trainA,patient_62.nii.gz,LIKELY_CT,1,Max HU too low: 1502.6,-1000.0000001090573,1502.6000002393002,-761.9063370838593,400.20859092986456,2502.6000003483578,1.0722999572753906,1.0722999572753906,3.0,False
trainA,patient_63.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-735.3694559241115,411.30854711843284,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_64.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-712.3729808236997,433.2243079644507,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_65.nii.gz,LIKELY_CT,1,Max HU too low: 1345.0,-999.9999694824219,1344.999999942258,-708.5522696308688,426.60092565598336,2344.99996942468,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_66.nii.gz,LIKELY_CT,1,Max HU too low: 1518.2,-1000.0000000584823,1518.2000000113983,-792.2063847204712,380.1820356603667,2518.200000069881,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_67.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-674.2654623502174,440.9943158223273,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_68.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-737.0703156750363,410.94551664512466,3975.999938901514,1.0,1.0,3.0,False
trainA,patient_69.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-727.5412210580471,413.7626660305982,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_7.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-780.1523695065697,395.3369723135258,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_70.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-710.8469015616973,434.8117094092923,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_71.nii.gz,LIKELY_CT,0,,-1000.0,2070.899999909445,-807.7069008958244,372.12455649211375,3070.899999909445,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_73.nii.gz,LIKELY_CT,0,,-2240.300048828125,3481.20004902035,-1020.1363137869129,715.5302755224392,5721.500097848475,0.8789060115814209,0.8789060115814209,3.0,False
trainA,patient_74.nii.gz,LIKELY_CT,1,Max HU too low: 1520.9,-999.9999999965523,1520.8999997521219,-719.9885619278378,429.36388652411284,2520.8999997486744,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_76.nii.gz,LIKELY_CT,0,,-999.9999389648438,2312.500000106287,-795.0078311904488,379.4078476044445,3312.499939071131,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_77.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-748.4476829240047,425.14520256073183,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_78.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-710.9763988640104,438.91061205555354,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_79.nii.gz,LIKELY_CT,0,,-999.9999997845819,2705.199999698617,-804.3081693848582,371.1903889983945,3705.1999994831986,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_8.nii.gz,LIKELY_CT,1,Max HU too low: 1550.7,-999.9999998653959,1550.7000000601997,-776.3867024501551,396.01852424628754,2550.699999925596,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_80.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-768.7355141328253,415.65943895345885,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainA,patient_9.nii.gz,LIKELY_CT,0,,-999.9999389648438,2975.99999993667,-747.6071699664883,420.9165402766539,3975.999938901514,0.9765999913215637,0.9765999913215637,3.0,False
trainB,patient_1.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-769.2660590068414,413.2342354073952,3976.0,0.9765999913215637,0.9765999913215637,3.0,False
trainB,patient_10.nii.gz,LIKELY_CT,1,Max HU too low: 1639.0,-1000.0,1639.0,-801.3289628571658,383.4908252361556,2639.0,0.9765999913215637,0.9765999913215637,3.0,False
trainB,patient_11.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-814.3635353372952,370.6991322822155,3976.0,1.0391000509262085,1.0391000509262085,3.0,False
trainB,patient_14.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-772.2415167856356,402.3589716717577,3976.0,1.0448999404907227,1.0448999404907227,3.0,False
trainB,patient_15.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-697.4885699750043,430.43216662426136,3976.0,0.9765999913215637,0.9765999913215637,3.0,False
trainB,patient_16.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-768.8422070532007,406.5632842936078,3976.0,1.0214999914169312,1.0214999914169312,3.0,False
trainB,patient_17.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-703.5801713322454,426.60198866383024,3976.0,0.9765999913215637,0.9765999913215637,3.0,False
trainB,patient_18.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-749.4961793457925,417.4415879607628,3976.0,0.9765999913215637,0.9765999913215637,3.0,False
trainB,patient_19.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-788.8298815204178,379.75790296132953,3976.0,0.9765999913215637,0.9765999913215637,3.0,False
trainB,patient_20.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-748.7296290131185,410.0541102805209,3976.0,1.048799991607666,1.048799991607666,3.0,False
trainB,patient_23.nii.gz,LIKELY_CT,0,,-1000.0,2976.0,-730.8110479995026,440.2593385346366,3976.0,0.9765999913215637,0.9765999913215637,3.0,False
